When,AO,QIC,PAX
1/6/2022,Paradise:28,Maraschino,"Atta-Boy, Brotox, Bump Draft, Catskill, Elwood, Green Acres, Madden, Nacho Libre, Nightshift, Nitro, Rebar, Red October, Spam, Spooky, Uzi, WaWa"
1/5/2022,The King's Dominion:212,CherryBaked,"Knope, Belhop, Castaway, Count Chocula, Kia, Hutz, Buffay, Cousin Vinny, Dogwood, loonie, Laplane, Scribble, mlp, Max power, Cardiac, Scrooge McDuck, Yunes, Yurt , Crash Cart and  Uzi"
1/5/2022,The King's Dominion:212,CherryBaked,"Knope, Belhop, Castaway, Count Chocula, Kia, Hutz, Buffay, Cousin Vinny, Dogwood, loonie, Laplane, Scribble, mlp, Max power, Cardiac, Scrooge McDuck, Yunes, Yurt , Crash Cart and  Uzi"
1/5/2022,--:10,Knope,"Bellhop, Boucher, Bump Draft, Castaway, Cosmo, Moore, Nickelback, Nightshift, Rambler, Uzi, Vice"
1/6/2022,Tobacco Road:15,My Little Pony,"Awesome Baby, Cherry Baked, Pallino, Bells, Knope, Wreck-It Ralph, Cosmo, Castaway, Boucher, Cardiac, Weed-N-Feed, Loonie, Floyd, Thirs-tay (FNG)"
1/1/2022,Thin Blue Line:17,Peppermint Pattie (Adolphus co-Q),"Newt, Right Swipe, Bitcoin, Scrooge, Riggs, Cool J, Adolphus, Peppermint Pattie"
1/5/2022,The Skunk:69,Milton,"Busch League, Dinghy, Nickelback, Coco, Nubbin, Brick, Denali, Elf"
1/4/2022,The Rabbit:41,Forbidden Fruit,"Paperboy, Nescafe, Jinx, RG3, Jingles, Zika, Smokey Bear, Beaujolais, Dueling Banjos"
1/4/2022,The Jag:60,Homegrown Berry,"Nighthawk, Montecristo (Respect), Quicken (Respect), Bump Draft, Green Acres, Nacho Libre, Nitro (Respect), Vice, Chum, Catskill (Respect), Huckleberry, Rebar, Mothman, Spam, Zook, Brotox"
1/4/2022,The Vortex:16,Funyun,"Big Cat, Legally blonde, Newt, Malware, Potter, Red October, Uzi, Dean Wormer, the Lawn, FNG (Mayflower), Nightshift, fishandchips."
1/3/2022,The Eagle:27,Count Chocula,The Count
12/31/2021,The Wall:31,Homegrown Berry,"Splashback, Huckleberry, Nighthawk, Duplo, Fozzy, Oh Shag Hennessey, Jingles, Quint, Mothman, Vice, Catskill, Stickman, Paper Jam, Marky Mark, Rebar"
12/31/2021,Duck and Weave:32,Dinghy,"Cortes, Nubbin, Denali, Elf, Nickelback, Halfback, Outmeal, FishNchips, Milton"
12/30/2021,Paradise:28,BumpDraft,"Malware, Potter, Nitro, Uzi, Maraschino, Vice, Catskill, Wawa, Spitbucket, Spooky, DeanWormer, GoldenBoy"
12/30/2021,The Bullpen:33,Knope,Banana Split
12/29/2021,Conjunction Junction:68,The Lawn,"Nightshift, Oatmeal, Big Kat, Mueller, FishandChips, Tricurious, Yo-Yo, Potter, Malware"
